,sex,age,famsize,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,health,absences,G1,G2,G3
0,0,18,0,4,4,0,0,0,2,2,0,0,0,0,0,0,0,4,3,4,3,6,5,6,6.0
1,0,17,0,1,1,0,1,1,1,2,0,1,1,0,0,0,1,5,3,3,3,4,5,5,6.0
2,0,15,1,1,1,0,1,0,1,2,3,0,0,1,0,0,1,4,3,2,3,10,7,8,10.0
3,0,15,0,4,2,1,2,0,1,3,0,1,1,1,1,0,1,3,2,2,5,2,15,14,15.0
4,0,16,0,3,3,2,1,1,1,2,0,1,1,1,0,0,0,4,3,2,5,4,6,10,10.0
5,1,16,1,4,3,3,1,0,1,2,0,1,1,1,1,0,1,5,4,2,5,10,15,15,15.0
6,1,16,1,2,2,2,1,0,1,2,0,1,0,0,0,0,1,4,4,4,3,0,12,12,11.0
7,0,17,0,4,4,2,0,0,2,2,0,0,1,0,0,0,0,4,1,4,1,6,6,5,6.0
8,1,15,1,3,2,3,1,0,1,2,0,1,1,1,0,0,1,4,2,2,1,0,16,18,19.0
9,1,15,0,3,4,2,1,0,1,2,0,1,1,1,1,0,1,5,5,1,5,0,14,15,15.0
10,0,15,0,4,4,4,3,0,1,2,0,1,1,1,0,0,1,3,3,3,2,0,10,8,9.0
11,0,15,0,2,1,3,1,1,3,3,0,1,1,0,1,0,1,5,2,2,4,4,10,12,12.0
12,1,15,1,4,4,1,2,1,1,1,0,1,1,1,1,0,1,4,3,3,5,2,14,14,14.0
13,1,15,0,4,3,4,1,0,2,2,0,1,1,1,0,0,1,5,4,3,3,2,10,10,11.0
14,1,15,0,2,2,2,1,2,1,3,0,1,1,0,0,0,1,4,5,2,3,0,14,16,16.0
15,0,16,0,4,4,1,1,0,1,1,0,1,1,0,0,0,1,4,4,4,2,4,14,14,14.0
16,0,16,0,4,4,3,2,0,1,3,0,1,1,1,1,0,1,3,2,3,2,6,13,14,14.0
17,0,16,0,3,3,2,1,0,3,2,0,0,1,0,1,0,0,5,3,2,4,4,8,10,10.0
18,1,17,0,3,2,3,2,0,1,1,3,1,1,0,1,0,1,5,5,5,5,16,6,5,5.0
19,1,16,1,4,3,1,1,1,1,1,0,1,0,1,1,0,1,3,1,3,5,4,8,10,10.0
